id;square;sub_square;us;dec;dec_order;sub_us;n2;n4;n10;tot;sample_size
J4_III_18_188-190;J4;III;18;188-190;1;top;36;5;1;42;inf_50
J4_III_18_190-192;J4;III;18;190-192;2;top;12;14;5;31;inf_50
J4_III_18_190-194;J4;III;18;190-194;3;top;5;1;0;6;inf_50
J4_III_18_192-194;J4;III;18;192-194;4;top;61;25;8;94;sup_50
J4_III_18_194-196;J4;III;18;194-196;5;top;82;23;1;106;sup_50
J4_III_18_196-198;J4;III;18;196-198;6;top;70;25;9;104;sup_50
J4_III_18_198-200;J4;III;18;198-200;7;top;142;33;4;179;sup_50
J4_III_18_200-202;J4;III;18;200-202;8;top;85;34;7;126;sup_50
J4_III_18_202-204;J4;III;18;202-204;9;top;64;31;16;111;sup_50
J4_III_18_204-206;J4;III;18;204-206;10;top;49;18;8;75;sup_50
J4_III_18_206-208;J4;III;18;206-208;11;top;161;68;5;234;sup_50
J4_III_18_208-210;J4;III;18;208-210;12;top;114;36;4;154;sup_50
J4_III_18_210-212;J4;III;18;210-212;13;top;131;21;0;152;sup_50
J4_IV_18_200-202;J4;IV;18;200-202;1;top;16;2;2;20;inf_50
J4_IV_18_202-204;J4;IV;18;202-204;2;top;10;10;1;21;inf_50
J4_IV_18_204-206;J4;IV;18;204-206;3;top;88;18;9;115;sup_50
J4_IV_18_206-208;J4;IV;18;206-208;4;top;27;12;5;44;inf_50
J4_IV_18_208-210;J4;IV;18;208-210;5;top;211;63;16;290;sup_50
J4_IV_18_210-212;J4;IV;18;210-212;6;top;188;49;18;255;sup_50
J4_IV_18_212-214;J4;IV;18;212-214;7;top;88;37;16;141;sup_50
J5_I_18_200-202;J5;I;18;200-202;1;top;1;0;0;1;inf_50
J5_I_18_202-204;J5;I;18;202-204;2;top;22;10;1;33;inf_50
J5_I_18_204-206;J5;I;18;204-206;3;top;12;3;0;15;inf_50
J5_I_18_206-208;J5;I;18;206-208;4;top;43;6;0;49;inf_50
J5_I_18_208-210;J5;I;18;208-210;5;top;41;8;0;49;inf_50
J5_I_18_212-214;J5;I;18;212-214;7;top;125;43;3;171;sup_50
J5_II_18_198-200;J5;II;18;198-200;1;top;16;5;2;23;inf_50
J5_II_18_200-202;J5;II;18;200-202;2;top;41;18;2;61;sup_50
J5_II_18_202-204;J5;II;18;202-204;3;top;71;25;1;97;sup_50
J5_II_18_204-206;J5;II;18;204-206;4;top;53;36;1;90;sup_50
J5_II_18_206-208;J5;II;18;206-208;5;top;227;77;1;305;sup_50
J5_II_18_208-210;J5;II;18;208-210;6;top;387;109;3;471;sup_50
J5_II_18_210-212;J5;II;18;210-212;7;top;425;110;2;537;sup_50
J5_II_18_212-214;J5;II;18;212-214;8;top;269;62;0;319;sup_50
J5_III_18_200-202;J5;III;18;200-202;1;top;5;0;1;6;inf_50
J5_III_18_202-204;J5;III;18;202-204;2;top;87;26;9;122;sup_50
J5_III_18_204-206;J5;III;18;204-206;3;top;68;38;20;126;sup_50
J5_III_18_206-208;J5;III;18;206-208;4;top;127;78;35;240;sup_50
J5_III_18_208-210;J5;III;18;208-210;5;top;434;214;51;699;sup_50
J5_III_18_210-212;J5;III;18;210-212;6;top;296;113;27;436;sup_50
J5_III_18_212-214;J5;III;18;212-214;7;top;264;103;19;386;sup_50
