year;id;square;cadrant;x;y;z;code;det_mat_col;burnt;length;group_fab;bearing;plunge;us_field;article_corpus;nature;ACC;refit;raw_material;surface_state;surface_state_class;Macro tapho;Micro tapho;Cortex;% cortex;Loca cortex;Techno;Infos_support;fragment;technique;talon;remarques talon;Nuc. sur éc.;Conception;modalité;Typo simple;Typo;Loca. ret.;Accident;_ 2cm;remarques;long;larg;ép;Courbure;obj;couche;couch correl EJF_16_ EJO inf _172_200;Decapage;No faune;Id;Lettre seule;refit;8B;Type;Type HR;species;Bonne.Species_sans_indet_;Sp_nisp.avant.remont_;SPE.OL;Bodypart;Bodypart_Pre_refit_;Bodypart_segments;BodyPR_DS__sans_indet_;BodyPR_DS;Bodypart__4_seg;Portion;Segment;NDE;BUR;Landmark;diam antero_post;circ. SUR cercle pierr;circ. au_dessus pierrure;Type bois;Side;AGE;haut metaconide;haut protoBUC;Wear;Int_surf;Length;Width;Sh_circ;Sh_length;Surf_State;OverallSS;SURF OBSERV;Traces;Gnaw;Extent;FracType;Frac_shA;Frac_shB;EdgeS;Dist;Ret:#Zo;Ret:Comp;PN_type;GouttiereRUL;Sill_MC;MTARSE;glued;Region;Comments;DESSIN _APRES LIGNE358_EJOP SUP H8_IaIV_;NON ETUDIE;0;LIG2_9;BANDE.B_J;Fouille;Long bois;Long ribs;code;ZOOM
2013;20;I5;II;-9.699;5.112;-2.247;FAUNE;;;;NA;;;8;us19;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RENET;9.EJOP;NO. 20;20;20;;;;OS;;UNG3/4;;;;LBN;;;;;;SH;FR;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;18760;;;nouvelle;;;OS;
2013;21;I5;II;-9.729;5.02;-2.21;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RENET;9.EJOP;NO. 21;21;21;;;;OS;;UNG3/4;;;;NID;;;;;;FR;;;;;;;;;;;;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;18761;;;nouvelle;;;OS;
2013;22;I5;II;-9.814;5.03;-2.181;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RENET;9.EJOP;NO. 22;22;22;;;;OS;;UNG3/4;;;;LBN;;;;;;SH;FR;;;;;;;;;;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;18762;;;nouvelle;;;OS;
2013;23;I5;II;-9.757;5.126;-2.242;SILEX;;;;NA;;;8;us19;NA;INDET;;Santonien;Frais;1;;;;25;;Eclat cortical;<50%;;Directe dur;Lisse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;24;I5;II;-9.876;5.031;-2.15;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Frais;1;;;;0;;Eclat non cortical;;;Directe dur;Lisse;angle très ouvert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;25;I5;II;-9.888;5.274;-2.166;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RENET;9.EJOP;NO. 25;25;25;;;;OS;;MAM;;;;NID;;;;;;FR;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;18763;;;nouvelle;;;OS;
2013;26;I5;II;-9.896;5.229;-2.158;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RENET;9.EJOP;NO. 26;26;26;;;;OS;;UNG3/4;;;;NID;;;;;;FR;;;;;;;;;;;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;18764;;;nouvelle;;;OS;
2013;27;I5;II;-9.915;5.246;-2.154;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RENET;9.EJOP;NO. 27;27;27;;;;OS;;UNG3/4;;;;LBN;;;;;;SH;FR;;;;;;;;;;;;;;49;;;;;;;;;;;;;;;;;;;;;;;;;;18765;;;nouvelle;;;OS;
2013;29;I5;II;-9.762;5.08;-2.218;FAUNE;;;;NA;;;8;us18;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RENET;9.EJOP;NO. 29;29;29;;;;OS;;UNG3/4;;;;LBN;;;;;;SH;FR;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;18767;;;nouvelle;;;OS;
2013;32;I5;II;-9.829;5.061;-2.176;SILEX;;;;NA;;;8;us18;NA;INDET;;Santonien;Frais;1;;;;0;;Eclat non cortical;;Proximal;Directe dur;Lisse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
