raw_material;method;knapper;n2;n4;n10
Flint;Laminar;J. Pelegrin;719;246;106
Flint;Laminar;J. Pelegrin;171;81;68
Flint;Laminar;M. Brenet;624;255;80
Flint;Laminar;M. Brenet;1001;310;120
Flint;Laminar;M. Brenet;2959;1056;406
Flint;Laminar;M. Brenet;317;125;70
Flint;Laminar;M. Brenet;584;228;106
Flint;Laminar;M. Brenet;1479;431;228
Flint;Laminar;M. Brenet;1607;542;211
Flint;Laminar;M. Brenet;567;203;96
Flint;Laminar;M. Brenet;534;194;82
Flint;Laminar;M. Brenet;589;212;108
Flint;Laminar;M. Brenet;607;197;96
Flint;Laminar;M. Brenet;474;154;72
Flint;Laminar;M. Brenet;678;218;100
Flint;Levallois;B. Aubry;2583;545;191
Flint;Levallois;L. Bourguignon;897;352;173
Flint;Levallois;L. Bourguignon;1375;521;227
Flint;Levallois;L. Bourguignon;912;491;184
Flint;Levallois;M. Brenet;502;196;111
Flint;Levallois;M. Brenet;887;349;196
Flint;Levallois;M. Brenet;638;234;123
Flint;Levallois;M. Brenet;724;240;103
Flint;Levallois;M. Brenet;1693;549;238
Flint;Levallois;M. Brenet;1396;464;216
Flint;Discoid;J. Pelegrin;246;91;80
Flint;Discoid;L. Bourguignon;255;86;40
Flint;Discoid;L. Bourguignon;127;39;19
Flint;Discoid;L. Bourguignon;178;76;36
Flint;Discoid;L. Bourguignon;216;69;71
Flint;Discoid;M. Brenet;125;39;41
Flint;Discoid;M. Brenet;247;102;53
Flint;Discoid;M. Brenet;184;69;49
Flint;Discoid;M. Brenet;181;85;56
Flint;Discoid;M. Brenet;197;67;58
